"","PIB","Trabalho","Câmbio"
"1",86574.058171913,2042,7.89407279338927e-15
"2",90813.6765960718,2051.02,7.9297923287936e-15
"3",99449.221807915,2060.08,7.9297923287936e-15
"4",104503.139389144,2069.18,8.56084232882142e-15
"5",113076.079199048,2078.31,1.30972550937989e-14
"6",120375.315183613,2087.49,1.78598927596197e-14
"7",124745.030504981,2096.71,2.05984109806849e-14
"8",137270.129797878,2105.97,2.17890688843483e-14
"9",146030.662023065,2115.27,2.75042348901555e-14
"10",157291.121007259,2124.62,4.34590750039137e-14
"11",169499.82710784,2134,8.09648504042319e-14
"12",193353.921236025,2135.1,1.1668463188936e-13
"13",203356.220512401,2136.2,1.67883000412059e-13
"14",216464.956193858,2137.29,2.48847842748068e-13
"15",225476.628021434,2138.39,5.4175011869919e-13
"16",241192.094494337,2139.49,8.21555054840173e-13
"17",250752.649905435,2140.59,9.60862217154973e-13
"18",265130.389811011,2141.69,1.15255841598141e-12
"19",294824.521719399,2142.8,1.46451128293693e-12
"20",313737.917627444,2143.9,1.76217616629804e-12
"21",348008.565960001,2145,1.98785378344809e-12
"22",387472.737339883,2128.54,2.28822086312487e-12
"23",433736.982178663,2112.21,2.56796001993275e-12
"24",494330.03858888,2096,2.65094052783721e-12
"25",534617.93673396,2079.77,2.9383610615176e-12
"26",562257.684062948,2063.67,3.5168444719385e-12
"27",619945.322447678,2047.69,4.61870733099062e-12
"28",650508.626844197,2031.83,6.12086729455843e-12
"29",682838.905598612,2016.1,7.81974984419137e-12
"30",728998.815617153,2000.49,1.1660690720063e-11
"31",796285.406298594,1985,2.28123189244443e-11
"32",762443.276530868,1974.1,4.03001093531326e-11
"33",768771.555725847,1963.25,7.76854427171099e-11
"34",746246.549143448,1952.47,2.49718172221135e-10
"35",786543.862797179,1941.75,7.99741323974137e-10
"36",848279.6905878,1931.08,2.68324234084592e-09
"37",911815.839412853,1920.47,5.90968226749251e-09
"38",944002.938544157,1909.92,1.6976307824584e-08
"39",943436.536780884,1899.43,1.1354767374037e-07
"40",973249.131343441,1889,1.22638743473744e-06
"41",930912.794129727,1879,2.95572678942699e-05
"42",940501.195909256,1874.23,0.000175961443086024
"43",936266.927038139,1869.48,0.00195302352248811
"44",981546.606817014,1864.73,0.038276610926673
"45",1038989.74724554,1860,0.664683514070577
"46",1082872.45162304,1855.23,0.917666666666667
"47",1106159.91572043,1850.48,1.0051
"48",1143495.62753748,1845.73,1.07799166666667
"49",1143899.86728758,1841,1.16051666666667
"50",1146806.11932456,1841,1.81393284657213
"51",1196189.85213025,1841,1.82942312207561
"52",1211897.24607939,1841,2.34963170932244
"53",1244110.61509865,1841,2.92036301775519
"54",1258375.83403078,1841,3.07747511847801
"55",1330257.94085989,1841,2.92511944951586
"56",1372289.75,1841,2.43439003623188
"57",1426591.73649897,1841,2.17532666666667
"58",1513491.2970311,1841,1.94705833333333
"59",1591625.35120867,1841,1.83376666666667
"60",1586352.13293198,1841,1.99942817314426
"61",1705861.68269867,1841,1.75922671058718
"62",1752480.91799407,1841,1.67282875525659
